Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1760794438.976	    69.777	0	111	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain romance_flirting_sexuality --subtopic sexual_performance --target 100 --out out/romance_flirting_sexuality__sexual_performance.csv
6	:	1760794438.988	    71.116	0	121	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain romance_flirting_sexuality --subtopic sexual_health_awareness --target 100 --out out/romance_flirting_sexuality__sexual_health_awareness.csv
5	:	1760794438.982	    79.953	0	142	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain romance_flirting_sexuality --subtopic body_image --target 100 --out out/romance_flirting_sexuality__body_image.csv
2	:	1760794438.968	   102.401	0	167	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain romance_flirting_sexuality --subtopic crushes_attraction --target 150 --out out/romance_flirting_sexuality__crushes_attraction.csv
1	:	1760794438.964	   152.502	0	347	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain romance_flirting_sexuality --subtopic flirting_compliments --target 200 --out out/romance_flirting_sexuality__flirting_compliments.csv
3	:	1760794438.971	   202.656	0	927	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain romance_flirting_sexuality --subtopic dating_relationships --target 150 --out out/romance_flirting_sexuality__dating_relationships.csv
22	:	1760794510.109	   146.617	0	140	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain business_money_hustle --subtopic nairobi_hustle --target 200 --out out/business_money_hustle__nairobi_hustle.csv
23	:	1760794518.941	   142.500	0	140	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain business_money_hustle --subtopic small_business --target 200 --out out/business_money_hustle__small_business.csv
19	:	1760794439.237	   240.276	0	279	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain work_career_education --subtopic programming_freelancing --target 360 --out out/work_career_education__programming_freelancing.csv
18	:	1760794439.207	   252.917	0	287	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain work_career_education --subtopic office_teamwork --target 360 --out out/work_career_education__office_teamwork.csv
13	:	1760794439.091	   256.644	0	279	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain health_fitness_wellbeing --subtopic medication_hospitals --target 360 --out out/health_fitness_wellbeing__medication_hospitals.csv
17	:	1760794439.180	   258.349	0	359	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain work_career_education --subtopic job_applications_interviews --target 360 --out out/work_career_education__job_applications_interviews.csv
12	:	1760794439.073	   276.048	0	304	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain health_fitness_wellbeing --subtopic common_illnesses_symptoms --target 360 --out out/health_fitness_wellbeing__common_illnesses_symptoms.csv
16	:	1760794439.148	   287.229	0	335	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain health_fitness_wellbeing --subtopic mental_health_stress --target 360 --out out/health_fitness_wellbeing__mental_health_stress.csv
10	:	1760794439.038	   288.809	0	341	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain personal_relationships_life --subtopic emotions_wellbeing --target 400 --out out/personal_relationships_life__emotions_wellbeing.csv
15	:	1760794439.122	   301.118	0	309	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain health_fitness_wellbeing --subtopic reproductive_womens_health --target 360 --out out/health_fitness_wellbeing__reproductive_womens_health.csv
8	:	1760794439.007	   302.232	0	530	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain personal_relationships_life --subtopic communication_social --target 400 --out out/personal_relationships_life__communication_social.csv
20	:	1760794439.268	   305.370	0	549	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain work_career_education --subtopic career_growth_training --target 360 --out out/work_career_education__career_growth_training.csv
25	:	1760794591.470	   159.721	0	155	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain business_money_hustle --subtopic marketing_customers --target 200 --out out/business_money_hustle__marketing_customers.csv
7	:	1760794438.995	   315.366	0	529	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain personal_relationships_life --subtopic family_friends --target 400 --out out/personal_relationships_life__family_friends.csv
28	:	1760794661.446	    97.130	0	93	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain technology_online_life --subtopic internet_wifi --target 120 --out out/technology_online_life__internet_wifi.csv
27	:	1760794656.730	   103.710	0	79	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain technology_online_life --subtopic phones --target 120 --out out/technology_online_life__phones.csv
24	:	1760794541.374	   227.062	0	356	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain business_money_hustle --subtopic online_gigs_crypto --target 200 --out out/business_money_hustle__online_gigs_crypto.csv
21	:	1760794508.758	   268.746	0	323	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain work_career_education --subtopic school_exams_teachers --target 360 --out out/work_career_education__school_exams_teachers.csv
29	:	1760794679.518	   103.897	0	183	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain technology_online_life --subtopic social_media --target 120 --out out/technology_online_life__social_media.csv
31	:	1760794695.740	    95.131	0	71	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain technology_online_life --subtopic AI --target 120 --out out/technology_online_life__AI.csv
30	:	1760794692.129	   104.246	0	183	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain technology_online_life --subtopic apps_updates --target 120 --out out/technology_online_life__apps_updates.csv
26	:	1760794641.632	   158.062	0	146	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain business_money_hustle --subtopic saving_budgeting --target 200 --out out/business_money_hustle__saving_budgeting.csv
32	:	1760794697.534	   103.611	0	358	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain hobby_leisure_entertainment --subtopic music_artists --target 100 --out out/hobby_leisure_entertainment__music_artists.csv
39	:	1760794751.197	    57.155	0	90	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain sports_betting --subtopic online_gambling_kenya --target 70 --out out/sports_betting__online_gambling_kenya.csv
35	:	1760794727.853	    80.506	0	115	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain hobby_leisure_entertainment --subtopic tiktok_trends_kenya --target 100 --out out/hobby_leisure_entertainment__tiktok_trends_kenya.csv
9	:	1760794439.017	   376.111	0	1187	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain personal_relationships_life --subtopic self_improvement_motivation --target 400 --out out/personal_relationships_life__self_improvement_motivation.csv
41	:	1760794758.582	    68.141	0	81	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain religion_morality --subtopic prayer_faith --target 100 --out out/religion_morality__prayer_faith.csv
40	:	1760794754.366	    75.766	0	168	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain sports_betting --subtopic sport_betting_tips --target 70 --out out/sports_betting__sport_betting_tips.csv
33	:	1760794715.126	   117.327	0	425	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain hobby_leisure_entertainment --subtopic cooking_recipes --target 100 --out out/hobby_leisure_entertainment__cooking_recipes.csv
38	:	1760794744.643	    87.998	0	103	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain sports_betting --subtopic predictions_premier_league --target 130 --out out/sports_betting__predictions_premier_league.csv
37	:	1760794741.244	   101.529	0	81	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain sports_betting --subtopic football_banter --target 130 --out out/sports_betting__football_banter.csv
14	:	1760794439.107	   404.731	0	1049	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain health_fitness_wellbeing --subtopic nutrition_diet --target 360 --out out/health_fitness_wellbeing__nutrition_diet.csv
43	:	1760794768.441	    82.427	0	181	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain religion_morality --subtopic church_fellowship --target 100 --out out/religion_morality__church_fellowship.csv
44	:	1760794777.509	    83.759	0	139	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain travel_transport_street --subtopic matatus_boda --target 100 --out out/travel_transport_street__matatus_boda.csv
34	:	1760794726.382	   143.197	0	595	0	0	~/mindseek_seedgen/.venv/bin/python generate_subtopic.py --domain hobby_leisure_entertainment --subtopic gaming_streaming --target 100 --out out/hobby_leisure_entertainment__gaming_streaming.csv
